platform_product_id,platform_marketplace_id,product_title,currency,buy_box_price,manufacturer_name,brand,model_number,part_number,model_name,product_dimensions,product_weight,ratings_count,average_rating,listing_url,image_urls,buy_box_seller,seller_url
49MB6IRI5OMP,WALMART-US,"Targus 4Vu Privacy Screen for Microsoft Surface ProTM 8, Landscape Clear - For 12.3""LCD Tablet - Polyethylene Terephthalate (PET) - TAA Compliant",USD,64.44,Targus,TARGUS,AST330AMGL,NA,NA,NA,NA,1,5,https://www.walmart.com/ip/Targus-4Vu-Privacy-Screen-for-Microsoft-Surface-ProTM-8-Landscape-Clear-For-12-3-LCD-Tablet-Polyethylene-Terephthalate-PET-TAA-Compliant/1790742389,"https://i5.walmartimages.com/seo/Targus-4Vu-Privacy-Screen-for-Microsoft-Surface-ProTM-8-Landscape-Clear-For-12-3-LCD-Tablet-Polyethylene-Terephthalate-PET-TAA-Compliant_c83ca9cd-fb3e-4be8-89a9-dfb245386e74.290dc2a975d33b0b0fdd850f774a8d56.jpeg,https://i5.walmartimages.com/asr/b582d994-3128-4477-ab4f-52397f92fbca.9f0269f48f71daccdd643909c915d735.jpeg",Wired At Home LLC,https://www.walmart.com/seller/8165
7D3V5TUN9BD1,WALMART-US,"Used Targus Active Commuter TSB950US Carrying Case (Backpack) for 16"" Notebook - Black - Weather Resistant Base, Moisture Resistant - Mesh Back Panel - Shoulder Strap, Trolley Strap, Chest",USD,30.64,Targus,TARGUS,,NA,NA,NA,NA,0,,https://www.walmart.com/ip/Used-Targus-Active-Commuter-TSB950US-Carrying-Case-Backpack-16-Notebook-Black-Weather-Resistant-Base-Moisture-Mesh-Back-Panel-Shoulder-Strap-Trolley/458991640,https://i5.walmartimages.com/seo/Used-Targus-Active-Commuter-TSB950US-Carrying-Case-Backpack-16-Notebook-Black-Weather-Resistant-Base-Moisture-Mesh-Back-Panel-Shoulder-Strap-Trolley_c3445071-cf65-4a0c-9663-b19fa1ca9306.951f438aee27fa5905ffeea1b5f41103.jpeg,"SaveCentral, LLC",https://www.walmart.com/seller/14941
5GXOAKE83M2A,WALMART-US,Targus - 23.6� 4Vu Widescreen Monitor Privacy Screen,USD,34.55,Targus,TARGUS,ASF236W9USZ,NA,NA,NA,NA,0,,https://www.walmart.com/ip/Targus-23-6-4Vu-Widescreen-Monitor-Privacy-Screen/31390823,"https://i5.walmartimages.com/seo/Targus-23-6-4Vu-Widescreen-Monitor-Privacy-Screen_e26d1031-42c8-4c15-85bf-2fbd880bfcf7.c5cbb9c1a861c0552e3f8a66f73780c5.jpeg,https://i5.walmartimages.com/asr/0979c098-4365-4c0b-9eca-723425f42ffd.0a18a74cf2197dccb24dba7f841a7d2f.jpeg,https://i5.walmartimages.com/asr/e7d7a359-6a4b-4c2f-a6bf-434fc601c05a.fb12293a555ea001061942fc21701311.jpeg,https://i5.walmartimages.com/asr/ade780a5-a718-4d5f-875a-18c127902c01.964b926b394c4c21951a7051f99e512c.jpeg,https://i5.walmartimages.com/asr/d8799eff-f695-4762-ac1f-dbe1891a703c_1.d419ee0ba3a8072c10b1818c99d4397f.jpeg",Made Technology,https://www.walmart.com/seller/1488
6AT3RYKLAM87,WALMART-US,"Targus Antimicrobial Blue Light Filter Screen Protector for iPad mini 6th gen, 8.3 - ABL003AMGL",USD,28.56,Targus,TARGUS,ABL003AMGL,NA,NA,NA,NA,0,,https://www.walmart.com/ip/Targus-Antimicrobial-Blue-Light-Filter-Screen-Protector-for-iPad-mini-6th-gen-8-3-ABL003AMGL/404795803,"https://i5.walmartimages.com/seo/Targus-Antimicrobial-Blue-Light-Filter-Screen-Protector-for-iPad-mini-6th-gen-8-3-ABL003AMGL_2a9f682e-35fd-4dc3-a656-17232e907024.7d9160085786703dc4e075a3cbf2cb3b.jpeg,https://i5.walmartimages.com/asr/816e3ca3-5f2a-4e5e-9266-42e74e0cb9d6.2d6a3403d6a7685c5b07c4d3ed0139ca.jpeg",Targus US LLC,https://www.walmart.com/seller/18987
4M5L1ZKEJE4O,WALMART-US,"Targus SafePort Antimicrobial Back Cover for iPad 9th, 8th, and 7th gen. 10.2-inch - THD514GL",USD,20.81,Targus,TARGUS,THD514GL,NA,NA,NA,NA,20,4.75,https://www.walmart.com/ip/Targus-SafePort-Antimicrobial-Back-Cover-for-iPad-9th-8th-and-7th-gen-10-2-inch-THD514GL/647324296,"https://i5.walmartimages.com/seo/Targus-SafePort-Antimicrobial-Back-Cover-for-iPad-9th-8th-and-7th-gen-10-2-inch-THD514GL_4ebdcd3f-6529-4dfc-8a1f-164e87b3c780.33a750ed3396ab94cdbf76cc44ddd3bb.jpeg,https://i5.walmartimages.com/asr/561b8cf1-f768-4b58-9498-76c3e38d31d0.bf5261f8662c55e0d356c976c786f8b0.jpeg,https://i5.walmartimages.com/asr/de0aa5af-1d02-4d44-81a4-ef7d152aaef0.d186209979250cc56047bb1c156ef62c.jpeg,https://i5.walmartimages.com/asr/bbd7b724-f5bb-4959-9ec5-1585ac604063.75f6aa25e950779fd83992f183eced57.jpeg,https://i5.walmartimages.com/asr/555472c0-6b4b-4400-9dbb-6bf8d2d6d902.f2c33d1b2a5f0be69547c2af35a2ecf8.jpeg,https://i5.walmartimages.com/asr/34019d97-ac6b-4e18-88e1-6e23a5146d10.37b86a7ecf15607ce19df778c0225b60.jpeg,https://i5.walmartimages.com/asr/e587c210-84e5-43b4-8f4c-54b17642d036.461f61d53a059e161491c1b6a511728d.jpeg,https://i5.walmartimages.com/asr/98025ce6-65fc-41ef-b44c-208db8b361f6.bed18285c0821ca0ad3c2bedbf918495.jpeg,https://i5.walmartimages.com/asr/287136ed-76c8-4b4d-9c51-f667dcb7b768.4dfc89674b485093cc25a8e2a1cf56c3.jpeg,https://i5.walmartimages.com/asr/95a88dad-504d-48ea-a9a8-a72c2c275831.208fd845336caef1f7398444d4e3946a.jpeg",Walmart.com,https://www.walmart.com/seller/0
1ZRVH0C5UCPQ,WALMART-US,"Targus VersaVu Case for iPad (10th gen.) 10.9-inch, Blue",USD,32.95,Targus,TARGUS,THZ93502GL,NA,NA,NA,NA,7,4.7143,https://www.walmart.com/ip/Targus-VersaVu-Case-for-iPad-10th-gen-10-9-inch-Blue/1458499760,"https://i5.walmartimages.com/seo/Targus-VersaVu-Case-for-iPad-10th-gen-10-9-inch-Blue_78c36d25-15d2-4966-8b5f-5d829cad9c98.d8ee3ff8b1aa97c07a64e3f90b82b822.jpeg,https://i5.walmartimages.com/asr/9933ec33-118f-4161-84f3-ce96de52b52c.a3ae98ee5650fe4711b2d57247409a52.jpeg,https://i5.walmartimages.com/asr/593bb742-799d-4718-b427-a302e6fdf785.e59d8f4c3d6a1d9521d80be9ff0c6cb6.jpeg,https://i5.walmartimages.com/asr/8e0f58dd-3f76-4dc9-ba52-1d600730463e.02b6b746fbb6af3914bc00bc810c93b6.jpeg,https://i5.walmartimages.com/asr/b71e69b7-e9a4-442c-b49b-084ce32b61e2.e10be7c997f4370746499ca56af1400c.jpeg,https://i5.walmartimages.com/asr/91eb81e0-e773-4d6b-846c-e73e311a63d9.b355c70288814e670905f9fca72b65d8.jpeg,https://i5.walmartimages.com/asr/b8a6dd9e-7080-4f3d-80a6-5c2940052c7b.3f0c748e2791436cbfeecadaa6d67599.jpeg,https://i5.walmartimages.com/asr/e7de6cd4-92b3-44e8-80dc-2fc78a23eb1c.610a878306c323f12064959089aee51d.jpeg,https://i5.walmartimages.com/asr/3df91675-5b95-4518-9e2f-cf64fcdf64c4.92ad6854cf653cbbd9b90fc17ebc6a53.jpeg,https://i5.walmartimages.com/asr/a4198459-ea7e-4df3-9f69-e2b72d661460.e740eab684e0433ad2f01fa04fda670d.jpeg",Rover Mall,https://www.walmart.com/seller/483
5QPCJK4A2YLI,WALMART-US,"Targus Tempered Glass Screen Protector for 10.9"" iPad 10th Gen AWV362TAMGL",USD,37.75,Targus,TARGUS,AWV362TAMGL,NA,NA,NA,NA,0,,https://www.walmart.com/ip/Targus-Tempered-Glass-Screen-Protector-for-10-9-iPad-10th-Gen-AWV362TAMGL/2728178442,"https://i5.walmartimages.com/seo/Targus-Tempered-Glass-Antimicrobial-Screen-Protector-for-iPad-10th-gen-10-9-inch-AWV362TAMGL_2f5a30e6-3d0d-4b64-b0d8-808f84bfa8d6.98bb5c7b096cbd6ccd9c8142e5f441c9.jpeg,https://i5.walmartimages.com/asr/2259ef1f-5665-4eee-a2d5-bf59ceb25f91.3ee9206ccb852ca95217f4f481aa2214.jpeg,https://i5.walmartimages.com/asr/8d037fe8-ca4a-47d2-a931-6a02ef76b2b6.95944828d8558367f5f9f9544e4e80b6.jpeg",Walmart.com,https://www.walmart.com/seller/0
4Q3CYXIUB80H,WALMART-US,TARGUS SafePort Rugged Case Shoulder Strap,USD,21.63,TARGUS US LLC,Targus,THA101GLZ,NA,NA,NA,NA,1,5,https://www.walmart.com/ip/TARGUS-SafePort-Rugged-Case-Shoulder-Strap/362348796,"https://i5.walmartimages.com/seo/TARGUS-SafePort-Rugged-Case-Shoulder-Strap_0c4018fb-acd5-421a-97b8-b52a198b418b.1c0a901904ab9a27a2bafffd6211ac7e.jpeg,https://i5.walmartimages.com/asr/94532e8b-70c2-47be-a1f8-360db4f299b4.845b360ef6e10a0362f1140272e52d5d.jpeg,https://i5.walmartimages.com/asr/5d1d36e2-9eae-4886-83ec-2def08e59135.eed10b615e6bd337087ebf3b0ff36664.jpeg,https://i5.walmartimages.com/asr/c0e161db-9923-4f00-a703-534a195a2162.bdb890a7c56563b2d2a8ccf27e173d85.jpeg,https://i5.walmartimages.com/asr/f8038286-d5cb-47ee-a151-424d40944ea0.96b518763d3048c20b6c6c65bb9d88d3.jpeg",Targus US LLC,https://www.walmart.com/seller/18987
1RUDE8AQ2X7D,WALMART-US,"Targus Portable Laptop Desk w/Retractable Tray for 13-15"" laptops",USD,25.98,Targus,TARGUS,AWE803GL,NA,NA,NA,NA,1,5,https://www.walmart.com/ip/Targus-Portable-Laptop-Desk-w-Retractable-Tray-for-13-15-laptops/921416784,"https://i5.walmartimages.com/seo/Targus-Portable-Laptop-Desk-w-Retractable-Tray-for-13-15-laptops_9c74ffc4-9136-4dac-994e-b0d753f936a6.788bfb54490651f1a784bbc477383e7a.jpeg,https://i5.walmartimages.com/asr/eba5f90a-70bf-4c2d-b979-58edd5950876.c5f4369a086e6cb4c98ca85c5690d883.jpeg,https://i5.walmartimages.com/asr/36a81961-1529-4c79-a39d-68e8188c8487.a7f819eec84840f8c4ddf6d1a75efdf2.jpeg",Walmart.com,https://www.walmart.com/seller/0
4QJBGFIYNLPU,WALMART-US,"Targus Safe Fit Protective Case for iPad 6th gen./5th gen., iPad Pro 9.7-inch, iPad Air 2, and iPad Air - THZ611GL",USD,95.44,Targus,TARGUS,THZ611GL,NA,NA,NA,NA,6,4.6667,https://www.walmart.com/ip/Targus-Safe-Fit-Protective-Case-for-iPad-6th-gen-5th-gen-iPad-Pro-9-7-inch-iPad-Air-2-and-iPad-Air-THZ611GL/48591907,"https://i5.walmartimages.com/seo/Targus-Safe-Fit-Protective-Case-for-iPad-6th-gen-5th-gen-iPad-Pro-9-7-inch-iPad-Air-2-and-iPad-Air-THZ611GL_671b732c-9e31-48c4-a436-cba7b3ae1887_1.d1f5cc98912d05347d6553165dee8082.jpeg,https://i5.walmartimages.com/asr/79a0524a-7353-43e0-981d-dcc1cdc5b7e4_1.a39d22ab0368c5c35865ef825110d7a4.png",Direct marketplace,https://www.walmart.com/seller/101064685
