platform_product_id,platform_marketplace_id,product_title,currency,buy_box_price,buy_box_seller,manufacturer_name,brand,model_number,upc,part_number,ratings_count,average_rating,listing_url,image_urls,seller_url
16EU5E8CXDV9,WALMART-US,PlayStation 5 Disc Console - Marvel's Spider-Man 2 Bundle,USD,529.6,Adel Shalabi,,PlayStation,1000037780,711719566779,NA,2349,4.6765,https://www.walmart.com/ip/PlayStation-5-Disc-Console-Marvel-s-Spider-Man-2-Bundle/5081658627,"https://i5.walmartimages.com/seo/PlayStation-5-Disc-Console-Marvel-s-Spider-Man-2-Bundle_9fc9b318-ba6b-405b-b92c-bf0721b790f2.c760fb26883b8d4b58035c153ae089cb.jpeg,https://i5.walmartimages.com/asr/3ac6b9f8-fe8b-4e8d-9c2b-2a67b4df37ea.4dbe95c42f07919ec1004da401d262e2.jpeg,https://i5.walmartimages.com/asr/960a2f0c-0562-4376-b7b0-7eb68bb1a425.0d4f5794b8274d2f2700aaa59d2e568b.jpeg,https://i5.walmartimages.com/asr/d50c7788-7c5b-4c17-9dbb-b2567a31b680.728d35b9b42110995cbf110a04cca468.jpeg,https://i5.walmartimages.com/asr/b3a883cc-c414-4818-a687-de74d04f5349.ad369bba070eb7d13a262d55b1a3980d.jpeg,https://i5.walmartimages.com/asr/a46a54d3-16c6-44ff-800d-39353480fe2a.158b15d8104cb8d6fd675f062d8d85cc.jpeg",https://www.walmart.com/seller/101022253
3JQMYJZVO8X3,WALMART-US,Sony Playstation 5 Digital Version Console with Pro Gamer Starter Pack Bundle,USD,599.99,Global Cellutions Distributors Inc,,Sony,3005719-SG20018,084282749000,NA,28,2.0714,https://www.walmart.com/ip/Sony-Playstation-5-Digital-Version-Console-with-Pro-Gamer-Starter-Pack-Bundle/480799441,"https://i5.walmartimages.com/seo/Sony-Playstation-5-Digital-Version-Console-with-Pro-Gamer-Starter-Pack-Bundle_be4ddaa6-98ab-4ffd-8215-11f21caa88b0.9d4409d76f805b5b31e7a8c832c29365.jpeg,https://i5.walmartimages.com/asr/76123e24-bf7f-4ed8-beb3-76bcac93c8e5.df5820b3ecc076cbcd2bded9a12d572a.jpeg,https://i5.walmartimages.com/asr/be745dee-677e-46dd-bd42-ef768bebb715.15338a9cfd4c18fac567280738bbad3f.jpeg",https://www.walmart.com/seller/489
71W0OZWZXEED,WALMART-US,Sony PlayStation 5 (PS5) Digital Console Slim,USD,449,Walmart.com,,PlayStation,CFI-2015,711719573371,NA,576,4.6372,https://www.walmart.com/ip/Sony-PlayStation-5-PS5-Digital-Console-Slim/5113183757,"https://i5.walmartimages.com/seo/Sony-PlayStation-5-PS5-Digital-Console-Slim_330f0b1b-c9b6-4d17-8875-f35fea51bdfd.587fde46f23ab38eb3197552e46f5305.jpeg,https://i5.walmartimages.com/asr/90c5bdfa-0eb9-4b09-924c-b3b239500299.70f3a9281885886e33e67ed205d9403a.jpeg,https://i5.walmartimages.com/asr/98142935-eeba-4194-8c16-693dc2e7127b.d1665bb711b9d250f42b4385cffb4979.jpeg,https://i5.walmartimages.com/asr/fad6c1c7-1f3c-4fa9-9610-fd248a36a426.ee7b02b90ba3a2a60e4932735cc9fadc.jpeg,https://i5.walmartimages.com/asr/4b560e54-c9f9-4779-9668-a1c76fe4ec6b.d0eba5951d6bc29a130be5afa9612863.jpeg,https://i5.walmartimages.com/asr/b899d2cb-ffc4-4a8a-8c90-b3451407acb3.41717bf8a8607f0d224b6ce850e2da12.jpeg",https://www.walmart.com/seller/0
3GOXHWFL49OY,WALMART-US,God of War Ragnark Launch Edition - PlayStation 5 bundle,USD,559,Key West Marketing Inc,,Sony,PS5 Digital God of War Ragnarok Bundle,681378469813,NA,2,5,https://www.walmart.com/ip/God-of-War-Ragnark-Launch-Edition-PlayStation-5-bundle/2644880693,"https://i5.walmartimages.com/seo/God-of-War-Ragnark-Launch-Edition-PlayStation-5-bundle_02cef88e-1e9d-4ce2-ab8e-8120f093f892.23b7ba652b874408461cf1aef31dda73.jpeg,https://i5.walmartimages.com/asr/dce6b612-4485-4bbf-92ba-1d8a6f6d0dd8.336c1e8d9efc89f2b1712805f17dd134.jpeg",https://www.walmart.com/seller/10787
1DAAO8VAF6C7,WALMART-US,Sony PlayStation 5 Digital GOW Console with Extra Gray Camo Dualsense Controller and Accessories Kit,USD,639.99,MegaGoods Inc,,Sony,,658580597115,NA,1,5,https://www.walmart.com/ip/Sony-PlayStation-5-Digital-GOW-Console-with-Extra-Gray-Camo-Dualsense-Controller-and-Accessories-Kit/1487128365,https://i5.walmartimages.com/seo/Sony-PlayStation-5-Digital-GOW-Console-with-Extra-Gray-Camo-Dualsense-Controller-and-Accessories-Kit_163d41ec-f164-4fd4-9d01-2556a5546fc8.4b91e049b0da38623a38171bf084fe0d.jpeg,https://www.walmart.com/seller/1425
293SBB8QPJBF,WALMART-US,Sony PlayStation 5 Slim Call of Duty: Modern Warfare III Slim Console with Madden 24 Game and Accessories,USD,729.99,MegaGoods Inc,,Sony,,669185019162,NA,0,,https://www.walmart.com/ip/Sony-PlayStation-5-Slim-Call-of-Duty-Modern-Warfare-III-Slim-Console-with-Madden-24-Game-and-Accessories/5132552459,https://i5.walmartimages.com/seo/Sony-PlayStation-5-Slim-Call-of-Duty-Modern-Warfare-III-Slim-Console-with-Madden-24-Game-and-Accessories_185bcf09-d883-4241-b8c1-fc83133b868f.7b00bf8d0dfa50e58d1f2c517fad3b04.jpeg,https://www.walmart.com/seller/1425
4P7SHAI8THC5,WALMART-US,Sony Playstation 5 Digital with Extra Controller and Surge Battery Pack Bundle - Glacier White,USD,599,Global Cellutions Distributors Inc,,Sony,,084282783530,NA,0,,https://www.walmart.com/ip/Sony-Playstation-5-Digital-with-Extra-Controller-and-Surge-Battery-Pack-Bundle-Glacier-White/503366451,"https://i5.walmartimages.com/seo/Sony-Playstation-5-Digital-with-Extra-Controller-and-Surge-Battery-Pack-Bundle-Glacier-White_d644a5ce-f20b-4a45-8842-bf9406b9a30b.38697411b19b3f404374fbf1b4be230c.jpeg,https://i5.walmartimages.com/asr/aef12111-4ada-4129-bc18-ae442d973ccd.5ad0263c79d48b6db99b676f97af2055.jpeg,https://i5.walmartimages.com/asr/9bd130e8-74fe-4c71-a340-f21365d31f64.171370170bb3433351e5458c715c9e92.jpeg,https://i5.walmartimages.com/asr/af3d1193-ef67-49e6-a63b-71eed9a8cabb.af303df251845b4d5890df99d4dd2805.jpeg,https://i5.walmartimages.com/asr/847db2e5-cc14-4cf2-bd8d-2b603e72535d.45c8ccff2a93cc734cf95372752d8d2e.jpeg",https://www.walmart.com/seller/489
43VDO7EBZLRR,WALMART-US,"Sony Playstation 5 Digital Edition Console with Extra Purple Controller, Media Remote and Surge FPS Grip Kit With Precision Aiming Rings Bundle",USD,699.99,Global Cellutions Distributors Inc,,Sony,,084282777737,NA,0,,https://www.walmart.com/ip/Sony-Playstation-5-Digital-Edition-Console-with-Extra-Purple-Controller-Media-Remote-and-Surge-FPS-Grip-Kit-With-Precision-Aiming-Rings-Bundle/363385454,"https://i5.walmartimages.com/seo/Sony-Playstation-5-Digital-Edition-Console-with-Extra-Purple-Controller-Media-Remote-and-Surge-FPS-Grip-Kit-With-Precision-Aiming-Rings-Bundle_b5db4ce4-eea3-4fb8-b59c-f30cb6d27020.65cf35aa18b260c99878ca98ca2ab1b9.jpeg,https://i5.walmartimages.com/asr/aef12111-4ada-4129-bc18-ae442d973ccd.5ad0263c79d48b6db99b676f97af2055.jpeg,https://i5.walmartimages.com/asr/65a69f8f-d439-4ed5-b9dd-27a94432c8ec.b7d3b5154a5f83e2eb457a52f8dba552.jpeg,https://i5.walmartimages.com/asr/3550b8ab-6bf5-43de-b1fe-b73d5eb57311.8fab09fa0072d11e8894542a6d4aa96e.jpeg",https://www.walmart.com/seller/489
6Z27H0M38FFN,WALMART-US,"(Used with Little Scratch) PS5 Sony Playstation 5 Digital Edition Gaming Console + 1 Wireless Controller - 16GB GDDR6, 825GB SSD Storage, 120Hz 8K Output, WiFi 6 - 64GB Flash Stylus",USD,499,everest online llc,,SZHOSMUN,,717753091680,NA,1,5,https://www.walmart.com/ip/Used-Little-Scratch-PS5-Sony-Playstation-5-Digital-Edition-Gaming-Console-1-Wireless-Controller-16GB-GDDR6-825GB-SSD-Storage-120Hz-8K-Output-WiFi-6-6/600754888,"https://i5.walmartimages.com/seo/Used-Little-Scratch-PS5-Sony-Playstation-5-Digital-Edition-Gaming-Console-1-Wireless-Controller-16GB-GDDR6-825GB-SSD-Storage-120Hz-8K-Output-WiFi-6-6_8e110213-960a-40cd-a86c-bb9c2c127c2a.af677664f12e96b2a856901c446909cf.jpeg,https://i5.walmartimages.com/asr/f991d882-b891-43e4-9536-99c811d5f386.36b52e4e0a7a623623aedd8f8152d44f.jpeg,https://i5.walmartimages.com/asr/517ce1c6-cae7-4844-bad3-b0a60171732c.47938464ec2c21356fbb2843dfed0b8c.jpeg",https://www.walmart.com/seller/9078
47MNZ74TPK21,WALMART-US,Nintendo Switch Console with Gray Joy-Con,USD,273.8,"Matevosian Enterprises Inc,",,Nintendo,HADSKAAAA,045496882167,NA,4067,4.5107,https://www.walmart.com/ip/Nintendo-Switch-Console-with-Gray-Joy-Con/994790027,"https://i5.walmartimages.com/seo/Nintendo-Switch-Console-with-Gray-Joy-Con_9148d682-1f25-4900-ad09-13129aa33a8d_1.a699be3f510b55aea2410335d0a262d4.jpeg,https://i5.walmartimages.com/asr/b7e3a5d9-a7c6-4cb1-9bd0-c257f8303f55_1.fcc96547515a105f3396676b14605916.jpeg,https://i5.walmartimages.com/asr/0b4ce14d-82c5-489c-ae38-5ae35d557d38.9b08c4fc45aa1cd2dad70cffd73cafd3.jpeg,https://i5.walmartimages.com/asr/2d249480-ee4c-4c77-8811-c20949f14492_1.03af21b7313fcd43fee6920d40309dfb.jpeg,https://i5.walmartimages.com/asr/93b0ea45-2673-4439-ad77-03fe01fefb6e_11.ed69c43d88cb2db70efdacc980944d6b.jpeg,https://i5.walmartimages.com/asr/2c079b5b-be41-4e95-a548-b09d93b5220a_1.b3ef23df97c2a68aa42691891b6cc9d7.jpeg,https://i5.walmartimages.com/asr/4c62bc23-8621-42c7-b752-3c1b4490d584_1.555923aa2300289e40656635ff65c2ef.jpeg,https://i5.walmartimages.com/asr/0b12e57c-edf6-4abf-bacd-d139678598b6_2.b7008a3177ca809e8e2162dbe1a4b154.jpeg,https://i5.walmartimages.com/asr/5502b65b-08a2-42b8-a669-1784ab115e1b_7.13b6764728962fd53bcfa79193f0074b.jpeg",https://www.walmart.com/seller/1925
